Date,Value
2024-06-25,3663380350888
2024-06-26,3706512723156
2024-06-27,3786652956653
2024-06-28,3873438676962
2024-06-29,3945995643799
2024-06-30,4000582568215
2024-07-01,4093854853668
2024-07-02,4190400631570
2024-07-03,4290987647562
2024-07-04,4390798368527
2024-07-05,4467364519101
2024-07-06,4541670463880
2024-07-07,4610139581706
2024-07-08,4666990501612
2024-07-09,4728989027308
2024-07-10,4791906968366
2024-07-11,4820554533415
2024-07-12,4846061144779
2024-07-13,4862426750570
2024-07-14,4884115117219
2024-07-15,4900736224230
2024-07-16,4912756973082
2024-07-17,4919533042249
2024-07-18,4927377601861
2024-07-19,4938008865150
2024-07-20,4944443703962
2024-07-21,4951074799491
2024-07-22,4957484055134
2024-07-23,4964045628135
2024-07-24,4970263363930
2024-07-25,4976198906739
2024-07-26,4981672246979
2024-07-27,4986358110603
2024-07-28,4990945371378
2024-07-29,4995533323591
2024-07-30,5000653382450
2024-07-31,5006209739182
2024-08-01,5011590458683
2024-08-02,5016980990210
2024-08-03,5021983075395
2024-08-04,5027175892011
2024-08-05,5032428661348
2024-08-06,5037603906487
2024-08-07,5043158603112
2024-08-08,5048903320284
2024-08-09,5057586172995
2024-08-10,5065245488434
2024-08-11,5073702416194
2024-08-12,5082507097459
2024-08-13,5090746608398
2024-08-14,5100540429751
2024-08-15,5110100773836
2024-08-16,5119736725775
2024-08-17,5128568637690
2024-08-18,5137516654808
2024-08-19,5147061878581
2024-08-20,5155839488510
2024-08-21,5164754916218
2024-08-22,5173213579769
2024-08-23,5179570985993
2024-08-24,5186720114885
2024-08-25,5194003123443
2024-08-26,5201873036845
2024-08-27,5209598920876
2024-08-28,5216019364912
2024-08-29,5223188638086
2024-08-30,5230479881360
2024-08-31,5237006655576
2024-09-01,5242189961299
2024-09-02,5245557222580
2024-09-03,5248511969454
2024-09-04,5252071984833
2024-09-05,5258296834270
2024-09-06,5266380190749
2024-09-07,5273458133038
2024-09-08,5278683053069
2024-09-09,5282942866381
2024-09-10,5287133097619
2024-09-11,5294041813085
2024-09-12,5302233964999
2024-09-13,5309489458257
2024-09-14,5316880739710
2024-09-15,5325287786649
2024-09-16,5332159886928
2024-09-17,5336988401513
2024-09-18,5342323514721
2024-09-19,5347116861468
2024-09-20,5351207200915
2024-09-21,5353661223435
2024-09-22,5355460839603
2024-09-23,5358085501631
2024-09-24,5361378305884
2024-09-25,5364094396090
2024-09-26,5366961719565
2024-09-27,5369986105982
2024-09-28,5372858990961
2024-09-29,5375954155116
2024-09-30,5379175048931
2024-10-01,5382327890861
2024-10-02,5385357455472
2024-10-03,5388427942762
2024-10-04,5391372247543
2024-10-05,5392957225101
2024-10-06,5394422316416
2024-10-07,5395836708649
2024-10-08,5397197209320
2024-10-09,5398584192355
2024-10-10,5399944016240
2024-10-11,5401415866837
2024-10-12,5402764630322
2024-10-13,5404116410521
2024-10-14,5405623780185
2024-10-15,5407087472733
2024-10-16,5408483993059
2024-10-17,5409857326097
2024-10-18,5411132897020
2024-10-19,5412667389238
2024-10-20,5413877113769
2024-10-21,5415246479927
2024-10-22,5425264680554
2024-10-23,5435847163251
2024-10-24,5446802189980
2024-10-25,5448118095758
2024-10-26,5449281171286
2024-10-27,5450597067309
2024-10-28,5453611182779
2024-10-29,5454994795104
2024-10-30,5456622233206
2024-10-31,5457990044155
2024-11-01,5459271664358
2024-11-02,5460399583461
2024-11-03,5461567039005
2024-11-04,5462827021089
2024-11-05,5464341330002
2024-11-06,5466660500151
2024-11-07,5469728271325
2024-11-08,5472906964172
2024-11-09,5476199005836
2024-11-10,5479558992979
2024-11-11,5482939035879
2024-11-12,5486132831230
2024-11-13,5487854261784
2024-11-14,5488418185509
2024-11-15,5489877738817
2024-11-16,5491299763156
2024-11-17,5492480598241
2024-11-18,5493743301020
2024-11-19,5495252506950
2024-11-20,5496587406272
2024-11-21,5497760673107
2024-11-22,5498902813178
2024-11-23,5500076302000
2024-11-24,5501147619066
2024-11-25,5502460752963
2024-11-26,5504211608163
2024-11-27,5505365971641
2024-11-28,5506480871217
2024-11-29,5507628870951
2024-11-30,5508630931753
2024-12-01,5509598350227
2024-12-02,5510678971630
2024-12-03,5511680725741
2024-12-04,5512757696107
2024-12-05,5513493449739
2024-12-06,5514004999417
2024-12-07,5514509097614
2024-12-08,5515009601815
2024-12-09,5515479002112
2024-12-10,5516044889305
2024-12-11,5516553464191
2024-12-12,5516997929304
2024-12-13,5517954050719
2024-12-14,5518432641329
2024-12-15,5519400360954
2024-12-16,5520200032727
2024-12-17,5520918715093
2024-12-18,5521713723401
2024-12-19,5522816701810
2024-12-20,5523545035112
2024-12-21,5524100018970
2024-12-22,5524747913282
2024-12-23,5525371488422
2024-12-24,5525935670916
2024-12-25,5526473274177
2024-12-26,5527313610196
2024-12-27,5528501965236
2024-12-28,5529432235002
2024-12-29,5530292307761
2024-12-30,5531034546767
2024-12-31,5532082610129
2025-01-01,5533018702137
2025-01-02,5533926120003
2025-01-03,5534783453215
